; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496838955,"CurrentTimeLocal","Wed Jun  7 14:35:55 2017","Hostname","c01n02"
; "Time_ContextCreate [ms]", 0.000143
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000353,0.001833,0.000764,0.000136,9.6e-05,0.000116,4.5e-05,0.000827,0.004496,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000329,0.002079,0.000737,0.000137,0.0001,0.000112,5.7e-05,0.000797,0.004663,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.00033,0.002049,0.000763,0.000138,0.000101,0.000111,4.6e-05,0.000797,0.004663,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000329,0.00206,0.000753,0.000131,0.00015,0.003538,5.7e-05,0.000836,0.008178,32,0,32
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000548,0.002888,0.000851,0.000209,0.000325,0.000266,0.000128,0.002092,0.00783,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000401,0.002263,0.000808,0.000185,0.000105,0.00012,6.7e-05,0.000869,0.005162,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000388,0.001932,0.000817,0.000184,0.000104,0.000124,6.6e-05,0.000887,0.004845,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000431,0.001826,0.0008,0.000141,0.000134,0.000124,5.8e-05,0.000878,0.004738,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000304,0.001733,0.000803,8.3e-05,9.7e-05,0.000122,4.8e-05,0.000858,0.00439,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000312,0.001736,0.000823,8.4e-05,0.000112,0.000113,5e-05,0.000887,0.004454,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.00039,0.001864,0.0008,0.000142,0.000149,0.000113,4.9e-05,0.000878,0.004723,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.0004,0.002103,0.000803,0.000141,0.000113,0.000113,4.9e-05,0.000871,0.004928,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.0004,0.002078,0.00081,0.00014,0.000106,0.000115,7.2e-05,0.000858,0.004914,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000398,0.002088,0.000795,0.000142,9.4e-05,0.000113,4.6e-05,0.000865,0.00488,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000316,0.001799,0.000823,8.3e-05,6.1e-05,0.000113,4.9e-05,0.00085,0.004428,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.00042,0.001867,0.000797,0.000184,0.000104,0.000113,4.6e-05,0.000864,0.004732,64,0,64
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000515,0.002983,0.000886,0.000143,0.154672,0.000268,0.000132,0.001643,0.161744,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000568,0.002955,0.00076,0.000181,0.000257,0.000121,7.9e-05,0.000869,0.006205,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000477,0.002491,0.000746,0.000113,0.000272,0.000115,6.6e-05,0.000852,0.005496,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000429,0.002152,0.000752,0.000113,0.00013,0.000121,7.8e-05,0.000876,0.005004,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000428,0.002139,0.00076,0.00011,0.000131,0.000122,6.7e-05,0.000873,0.004982,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000424,0.002083,0.000739,0.000111,0.000132,0.000122,4.7e-05,0.000872,0.004879,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000426,0.002106,0.000755,0.000111,0.000133,0.000119,4.4e-05,0.000893,0.004924,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000429,0.002085,0.000766,0.000109,0.000155,0.00012,5.9e-05,0.000867,0.004926,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000428,0.002065,0.000756,0.000114,0.000138,0.000121,4.8e-05,0.00087,0.004876,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000425,0.002112,0.000743,0.000114,0.000132,0.00012,4.5e-05,0.00088,0.004911,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000429,0.002041,0.000757,0.000114,0.000134,0.00012,4.5e-05,0.000875,0.004855,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000427,0.002103,0.000769,0.000111,0.00014,0.00012,4.5e-05,0.000864,0.004919,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000528,0.003477,0.001066,0.000283,0.000526,0.14134,0.000216,0.001869,0.149804,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000598,0.003031,0.000998,0.000122,0.00037,0.000208,9.9e-05,0.001063,0.006872,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000454,0.002428,0.000962,0.000121,0.000213,0.00015,6.6e-05,0.000978,0.005723,256,0,256
