; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496840385,"CurrentTimeLocal","Wed Jun  7 14:59:45 2017","Hostname","c01n12"
; "Time_ContextCreate [ms]", 0.000156
; "Time_ContextDestroy [ms]", 4.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000473,0.001649,0.000737,9.3e-05,0.000138,8.9e-05,4.9e-05,0.000903,0.004475,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.00046,0.001616,0.000746,9.5e-05,0.000126,8.4e-05,5.2e-05,0.000875,0.004387,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.00048,0.001636,0.000741,9.5e-05,0.000134,8.7e-05,5e-05,0.000876,0.004423,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000565,0.003396,0.001048,0.00029,0.000504,0.145146,0.000282,0.001669,0.153312,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000481,0.003039,0.00094,0.000167,0.000271,0.000214,8.1e-05,0.001053,0.006594,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000441,0.001909,0.000921,0.000157,0.000178,0.00014,6.2e-05,0.000968,0.005102,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000479,0.001888,0.000933,0.000136,0.00018,0.000121,6.3e-05,0.000975,0.00511,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000343,0.00173,0.00092,8.6e-05,0.000148,0.000152,5.3e-05,0.000972,0.004726,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000337,0.001722,0.000913,8.6e-05,0.000124,0.000108,5.5e-05,0.000959,0.004622,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000338,0.001673,0.000916,8.6e-05,0.000128,0.000117,5.5e-05,0.000935,0.004568,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000339,0.001734,0.000945,8.6e-05,0.000154,0.000113,5.3e-05,0.00095,0.004697,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000336,0.001688,0.00091,8.7e-05,0.000149,0.000115,5.2e-05,0.000952,0.004612,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.00034,0.001714,0.000923,8.5e-05,0.000127,0.000114,5.4e-05,0.000931,0.004607,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000334,0.001663,0.000933,8.5e-05,0.000126,0.000118,5.3e-05,0.000958,0.004591,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000332,0.001709,0.000898,8.4e-05,0.00013,0.000114,5.3e-05,0.000952,0.004596,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000521,0.002998,0.000908,0.000207,0.000632,0.14938,0.000272,0.001622,0.156981,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000477,0.003078,0.000915,0.000191,0.000304,0.000232,8.2e-05,0.000951,0.006605,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.000495,0.001891,0.0009,0.000125,0.000255,0.000185,7.4e-05,0.00098,0.005241,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.000537,0.001941,0.000885,0.000127,0.000227,0.000192,0.000115,0.000986,0.005345,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.000503,0.001877,0.000891,0.000138,0.000238,0.000184,7.4e-05,0.000958,0.005194,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.000461,0.001876,0.000879,0.000137,0.000233,0.000166,6.5e-05,0.000962,0.005103,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.00046,0.001839,0.00088,0.000134,0.000233,0.000173,6.3e-05,0.000972,0.005082,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.000468,0.00189,0.000881,0.000141,0.000223,0.000169,6.2e-05,0.00096,0.005112,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.00046,0.001839,0.000881,0.000132,0.000228,0.000173,6.4e-05,0.000979,0.005073,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.000487,0.002081,0.000871,0.000141,0.000246,0.000172,6.5e-05,0.000966,0.005349,512,0,512
