; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496259892,"CurrentTimeLocal","Wed May 31 21:44:52 2017","Hostname","r02n13"
; "Time_ContextCreate [ms]", 0.00035
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000242,1.19683,1.169964,0.000122,0.000183,9.4e-05,9e-05,0.000847,2.368934,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000182,1.194466,1.18747,0.000131,0.00024,8.9e-05,8e-05,0.000876,2.384078,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.00022,1.20464,1.184906,0.000102,0.000344,7.2e-05,7.6e-05,0.00106,2.392004,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000213,1.607621,1.190071,0.00012,0.000146,8.4e-05,7.6e-05,0.00076,2.799636,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000282,1.217637,1.194485,0.000107,9.8e-05,7.1e-05,7.7e-05,0.000805,2.414144,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000198,1.205213,1.192305,0.000113,0.000231,7.3e-05,8.2e-05,0.000846,2.399628,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000193,1.208751,1.189089,0.000123,0.000123,7.1e-05,7.5e-05,0.000727,2.399697,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.00018,1.200733,1.190897,0.000118,0.000135,8e-05,8.7e-05,0.000724,2.393486,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000189,1.207837,1.188582,0.000102,0.000148,6.1e-05,7.4e-05,0.000771,2.398366,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000209,1.334657,1.293359,0.000114,0.000183,0.000117,8e-05,0.000851,2.630187,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000218,1.280709,1.302605,0.00013,0.000171,7.1e-05,7.8e-05,0.000866,2.585471,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.00022,1.321503,1.327655,0.000104,0.000284,9.1e-05,7.8e-05,0.000923,2.651431,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000209,1.335566,1.330226,0.000109,0.000182,8.4e-05,8.7e-05,0.000743,2.667823,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.00022,1.325041,1.314537,0.000166,0.000173,7.3e-05,6.9e-05,0.000737,2.641567,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000246,1.308392,1.293537,0.000122,0.000177,9.4e-05,8.4e-05,0.000747,2.603993,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000205,1.304639,1.311539,0.000113,0.000129,9.4e-05,7.9e-05,0.000909,2.618289,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000211,1.332221,1.330238,0.000115,0.000179,8e-05,6.9e-05,0.000713,2.66436,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000238,1.344315,1.32707,0.00012,0.000177,8.2e-05,8.8e-05,0.000738,2.673379,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000193,1.340938,1.316766,0.000116,0.000151,8.5e-05,8.8e-05,0.001195,2.660096,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000196,1.319839,1.283445,0.000111,0.000178,8.4e-05,8.2e-05,0.000748,2.605227,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.0002,1.277983,1.307024,0.000125,0.000167,7.2e-05,6.9e-05,0.00118,2.587375,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000191,1.419064,1.479871,0.000173,0.000344,0.000162,8.8e-05,0.000954,2.901542,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000191,1.403329,1.41928,0.000123,0.000232,0.000162,0.0001,0.000834,2.824928,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000409,1.424897,1.426988,0.000129,0.000322,0.000142,6.7e-05,0.001243,2.854734,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000208,1.4234,1.422169,0.000127,0.000342,0.000136,9.3e-05,0.001159,2.848223,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000286,1.420176,1.420867,0.000123,0.000279,0.000126,9.3e-05,0.001038,2.843583,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000219,1.432976,1.443887,0.000119,0.000354,0.000133,7.3e-05,0.001025,2.879311,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000427,1.423179,1.413794,0.00012,0.000214,0.000133,8.5e-05,0.001231,2.839738,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000186,1.41995,1.437476,0.000129,0.000209,0.000146,4.9e-05,0.00119,2.859879,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000398,1.423029,1.435361,0.000124,0.000258,0.000157,7.8e-05,0.000878,2.860824,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000193,1.415049,1.440734,0.0001,0.000305,0.00014,7.1e-05,0.001053,2.858259,128,0,128
