; "ClFFT Informations","Device","Tesla K80","Hardware","OpenCL 1.2 CUDA","Software","352.39","OpenCL","OpenCL C 1.2 ","ComputeUnits","13","clFFT","2.12.1"
; "Time_ContextCreate [ms]", 861.308
; "Time_ContextDestroy [ms]", 68.547
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
"ClFFT","Inplace","Complex","float",1,"powerof2",2097152,0,0,2,"Success",17.0751,0.00168,7.69042,2.54313,6.07842,6.00271,2.45026,0.434393,25.2021,1.67772e+07,1.78258e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",2097152,0,0,3,"Success",17.1446,0.001665,7.69066,2.54498,6.13062,6.02052,2.44799,0.436032,25.2736,1.67772e+07,1.78258e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",2097152,0,0,4,"Success",17.1234,0.001611,7.6894,2.54535,6.09825,6.02874,2.4506,0.433872,25.2488,1.67772e+07,1.78258e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",4194304,0,0,0,"Success",35.2431,0.001738,9.02689,4.88716,12.8047,12.8071,4.74362,0.473672,44.7461,3.35544e+07,3.4603e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",4194304,0,0,1,"Success",35.1822,0.001839,9.00799,4.89314,12.8257,12.717,4.74581,0.471423,44.6641,3.35544e+07,3.4603e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",4194304,0,0,2,"Success",35.1135,0.001762,9.01429,4.89365,12.7484,12.7247,4.74625,0.468839,44.599,3.35544e+07,3.4603e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",4194304,0,0,3,"Success",35.2463,0.001737,8.97231,4.88954,12.8071,12.8012,4.74791,0.465525,44.6865,3.35544e+07,3.4603e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",4194304,0,0,4,"Success",35.2466,0.00165,9.00284,4.88624,12.8143,12.7986,4.74689,0.461958,44.7137,3.35544e+07,3.4603e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",8388608,0,0,0,"Success",71.813,0.001504,12.7379,9.56071,26.6627,26.238,9.35103,0.494498,85.0476,6.71089e+07,6.9206e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",8388608,0,0,1,"Success",71.6977,0.001717,12.7023,9.56326,26.4377,26.3484,9.34769,0.49016,84.8925,6.71089e+07,6.9206e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",8388608,0,0,2,"Success",71.3919,0.001708,13.1361,9.56437,26.3621,26.1166,9.34815,0.495196,85.0256,6.71089e+07,6.9206e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",8388608,0,0,3,"Success",71.9257,0.001797,12.7373,9.54328,26.7847,26.3988,9.19826,0.473854,85.1393,6.71089e+07,6.9206e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",8388608,0,0,4,"Success",64.6314,0.001952,12.7498,8.62168,23.9587,23.6438,8.40663,0.494228,77.8781,6.71089e+07,6.9206e+07
"ClFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,0,"Success",115.011,0.001622,16.5658,15.456,43.3346,41.7963,14.4235,0.502994,132.082,1.34218e+08,1.36315e+08
"ClFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",114.52,0.001716,16.5062,14.8391,43.3103,41.9469,14.4236,0.494404,131.523,1.34218e+08,1.36315e+08
"ClFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",113.694,0.001944,16.4913,14.842,42.5641,41.8624,14.4253,0.50126,130.69,1.34218e+08,1.36315e+08
"ClFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",114.338,0.001665,16.575,14.8921,42.7194,42.3035,14.4228,0.500694,131.416,1.34218e+08,1.36315e+08
