; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014160,"CurrentTimeLocal","Fri Jun  9 15:16:00 2017","Hostname","c02n15"
; "Time_ContextCreate [ms]", 0.000206
; "Time_ContextDestroy [ms]", 5.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.000606,0.005406,0.002347,0.000157,0.015154,0.012951,0.000167,0.004085,0.041197,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000535,0.004645,0.002114,0.000159,0.014338,0.013334,0.000158,0.00472,0.04031,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000514,0.005097,0.002132,0.000155,0.014666,0.013466,0.00016,0.004891,0.041395,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.00057,0.005191,0.00227,0.000157,0.015233,0.011741,0.000163,0.004101,0.039743,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.000569,0.005119,0.002267,0.000157,0.015435,0.012692,0.000159,0.004554,0.041273,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000665,0.006433,0.00278,0.000251,0.00978,0.014736,0.000193,0.004446,0.039747,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.000559,0.005609,0.002306,0.000221,0.015904,0.012559,0.000148,0.003929,0.041598,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000531,0.005142,0.002397,0.00017,0.015153,0.013361,0.000147,0.00426,0.041491,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.00056,0.005258,0.002173,0.000168,0.015114,0.013778,0.000143,0.003992,0.041507,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.000556,0.005145,0.002348,0.000171,0.016049,0.013157,0.000148,0.004039,0.041929,256,0,256
