; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540486615040,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497007532,"CurrentTimeLocal","Fri Jun  9 13:25:32 2017","Hostname","r02n01"
; "Time_ContextCreate [ms]", 0.000397
; "Time_ContextDestroy [ms]", 5.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.00116,0.007504,0.00212,0.000552,0.000859,0.000584,0.000138,0.002174,0.015864,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.001295,0.006664,0.002025,0.000394,0.000669,0.0005,0.000142,0.002133,0.014586,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.000702,0.004432,0.002122,0.000299,0.000437,0.00038,0.000115,0.002168,0.01136,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.000926,0.004259,0.002034,0.000307,0.000421,0.000398,0.000117,0.002152,0.011304,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.000757,0.00433,0.002091,0.00031,0.000406,0.000385,0.000117,0.002149,0.011211,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.000735,0.004113,0.002005,0.000297,0.000393,0.000378,0.000132,0.002002,0.010674,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.000737,0.004126,0.00198,0.000288,0.000397,0.000368,0.000114,0.002032,0.01066,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.00074,0.004083,0.001943,0.000291,0.000398,0.000383,0.000111,0.00206,0.010632,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.000729,0.004177,0.00198,0.0003,0.000389,0.000372,0.00012,0.002045,0.010731,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.000691,0.00404,0.001917,0.000297,0.000396,0.00038,0.000112,0.002092,0.010537,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.001091,0.005748,0.001993,0.000368,0.000614,0.000455,0.000132,0.002094,0.0131,512,0,512
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.001226,0.060986,0.015091,0.000554,0.807284,0.429342,0.000629,0.00412,1.320066,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",0.000925,0.018583,0.011299,0.000511,0.000991,0.00078,0.000202,0.00196,0.036002,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",0.00098,0.013969,0.010913,0.000331,0.000715,0.000597,0.000172,0.001808,0.030182,1024,0,1024
"Fftw_mklwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",0.000874,0.013405,0.010689,0.000334,0.000758,0.000633,0.00018,0.001794,0.029309,1024,0,1024
