; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270383394816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497014033,"CurrentTimeLocal","Fri Jun  9 15:13:53 2017","Hostname","c02n10"
; "Time_ContextCreate [ms]", 0.000159
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000651,0.677369,0.003998,0.00023,0.98832,0.450696,0.000176,0.00457,2.126484,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000562,0.005824,0.003922,0.000187,0.015666,0.012279,0.00019,0.004331,0.043354,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000517,0.004596,0.002426,0.000144,0.013431,0.011437,0.000185,0.005845,0.038918,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000488,0.004553,0.002365,0.000128,0.014031,0.012051,0.000168,0.004539,0.038674,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.00049,0.004178,0.002442,0.00013,0.0129,0.011886,0.000175,0.005182,0.037729,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000461,0.004362,0.002266,0.00013,0.014228,0.011681,0.000216,0.011218,0.044883,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000467,0.004583,0.002291,0.000126,0.013017,0.012482,0.000171,0.004365,0.037831,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.000475,0.004168,0.002248,0.000124,0.013606,0.011113,0.000218,0.005071,0.037355,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000459,0.004259,0.002439,0.000128,0.013166,0.01242,0.000208,0.005258,0.038699,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000466,0.004543,0.002443,0.000126,0.014336,0.011108,0.000215,0.004891,0.038465,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.000476,0.004355,0.002256,0.000129,0.012939,0.012542,0.000168,0.005383,0.038573,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.00046,0.004366,0.002473,0.000128,0.013014,0.012387,0.000213,0.004959,0.03834,128,0,128
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000596,0.005815,0.002867,0.000269,0.009003,0.01392,0.000273,0.005731,0.038938,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.000454,0.004517,0.002295,0.000142,0.014101,0.011943,0.000148,0.004875,0.038827,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000485,0.004403,0.00233,0.000119,0.013348,0.012244,0.000133,0.005525,0.038929,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.00055,0.004752,0.002352,0.000168,0.014804,0.013186,0.000155,0.004244,0.040552,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.000448,0.004125,0.002476,0.000158,0.014227,0.012589,0.000139,0.00487,0.039364,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000468,0.004296,0.00214,0.000163,0.013828,0.013687,6.8e-05,0.004268,0.039251,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,6,2,"Success",0.00046,0.004251,0.002178,0.00017,0.013862,0.012557,0.000142,0.004788,0.038725,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,7,2,"Success",0.000462,0.004188,0.002092,0.000165,0.013242,0.011802,0.000141,0.004942,0.037364,256,0,256
"Fftw_mklwrapper","Inplace","Complex","float",3,"powerof2",4,2,4,8,2,"Success",0.000472,0.004408,0.002355,0.000164,0.014015,0.012844,0.000134,0.005795,0.040518,256,0,256
