; "Tesla K20Xm", "CC", 3.5, "Multiprocessors", 14, "Memory [MiB]", 5759, "MemoryFree [MiB]", 5674, "MemClock [MHz]", 2600, "GPUClock [MHz]", 784, "CUDA Runtime", 7050, "cufft", 7050
; "Time_ContextCreate [ms]", 12.7537
; "Time_ContextDestroy [ms]", 145.371
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",3,"oddshape",511,513,509,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",511,513,509,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",511,513,509,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,513,509,0,"CUDA error cufft CUFFT_ALLOC_FAILED [2] cufft.hpp:127 cufftGetSize3d(plan, e[0], e[1], e[2], FFTType, &s)",0,0,0,0,0,0,0,0,0,2.13698e+09,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,513,509,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,513,509,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,513,509,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,513,509,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,509,0,"CUDA error cufft CUFFT_ALLOC_FAILED [2] cufft.hpp:127 cufftGetSize3d(plan, e[0], e[1], e[2], FFTType, &s)",0,0,0,0,0,0,0,0,0,4.25313e+09,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,509,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,509,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,509,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,509,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,1025,0,"CUDA error cufft CUFFT_ALLOC_FAILED [2] cufft.hpp:141 cufftGetSizeMany64(plan, NDim, lengths.data(), NULL, 0, 0, NULL, 0, 0, FFTType, 1, &worksize)",0,0,0,0,0,0,0,0,0,8.56476e+09,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,1025,1,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,1025,2,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,1025,3,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",3,"oddshape",1023,1021,1025,4,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0
"CuFFT","Inplace","Complex","float",1,"powerof2",262144,0,0,0,"Success",2.17625,0.185551,1.09993,1.0079,0.126496,0.11312,0.849248,0.298652,3.76134,2.09715e+06,2.09715e+06,2.09715e+06
"CuFFT","Inplace","Complex","float",1,"powerof2",262144,0,0,1,"Success",2.0321,0.178929,1.07016,0.860384,0.123552,0.111776,0.856128,0.28935,3.57145,2.09715e+06,2.09715e+06,2.09715e+06
"CuFFT","Inplace","Complex","float",1,"powerof2",262144,0,0,2,"Success",2.03005,0.181851,1.0973,0.866432,0.122432,0.111584,0.852128,0.29564,3.60579,2.09715e+06,2.09715e+06,2.09715e+06
"CuFFT","Inplace","Complex","float",1,"powerof2",262144,0,0,3,"Success",2.04056,0.182721,1.06872,0.863744,0.12912,0.112768,0.856096,0.289722,3.5827,2.09715e+06,2.09715e+06,2.09715e+06
"CuFFT","Inplace","Complex","float",1,"powerof2",262144,0,0,4,"Success",2.04407,0.182441,1.10109,0.865664,0.125344,0.110912,0.857152,0.28983,3.61839,2.09715e+06,2.09715e+06,2.09715e+06
"CuFFT","Inplace","Complex","float",1,"powerof2",1048576,0,0,0,"Success",6.6574,0.192111,1.10467,2.93411,0.37744,0.357696,2.90848,0.30814,8.26326,8.38861e+06,8.38861e+06,8.38861e+06
