; "ClFFT Informations","Device","Tesla K20Xm","Hardware","OpenCL 1.2 CUDA","Software","352.39","OpenCL","OpenCL C 1.2 ","ComputeUnits","14"
; "Time_ContextCreate [ms]", 971.768
; "Time_ContextDestroy [ms]", 28.1309
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]"
ClFFT,Inplace,Complex,float,3,3,125,243,128,4,20.8076,0.00251,4.64221,10.7161,0.404572,0.073361,9.61224,0.30762,25.7611,3.1104e+07,128000
ClFFT,Inplace,Complex,float,3,3,243,243,343,0,109.332,0.002583,5.23017,54.343,0.714927,0.131676,54.1409,0.379444,114.945,1.6203e+08,666792
ClFFT,Inplace,Complex,float,3,3,243,243,343,1,109.39,0.002249,5.38309,54.4332,0.73291,0.132692,54.0894,0.377696,115.154,1.6203e+08,666792
ClFFT,Inplace,Complex,float,3,3,243,243,343,2,109.494,0.002782,5.11939,54.4173,0.723465,0.131742,54.2201,0.387033,115.004,1.6203e+08,666792
ClFFT,Inplace,Complex,float,3,3,243,243,343,3,109.401,0.002924,5.18043,54.3669,0.711494,0.131242,54.1895,0.383178,114.969,1.6203e+08,666792
ClFFT,Inplace,Complex,float,3,3,243,243,343,4,109.223,0.002335,5.15779,54.2101,0.712737,0.130489,54.1682,0.375534,114.76,1.6203e+08,666792
ClFFT,Inplace,Complex,float,3,3,625,729,343,0,839.637,0.002335,6.29173,417.514,0.593464,0.229424,421.298,0.594824,846.527,1.25024e+09,1.715e+06
ClFFT,Inplace,Complex,float,3,3,625,729,343,1,838.982,0.002267,6.47936,416.793,0.806516,0.226749,421.154,0.574883,846.039,1.25024e+09,1.715e+06
ClFFT,Inplace,Complex,float,3,3,625,729,343,2,840.76,0.002394,6.51013,418.527,0.875645,0.218882,421.137,0.602482,847.876,1.25024e+09,1.715e+06
ClFFT,Inplace,Complex,float,3,3,625,729,343,3,838.535,0.002337,6.35659,416.209,0.885764,0.219694,421.22,0.591931,845.487,1.25024e+09,1.715e+06
ClFFT,Inplace,Complex,float,3,3,625,729,343,4,838.904,0.002267,6.32653,416.467,0.805701,0.227374,421.403,0.584019,845.818,1.25024e+09,1.715e+06
ClFFT,Inplace,Real,float,2,1,512,512,0,0,8.78906,0.002312,6.29524,0.678162,0.52927,0.474723,0.503961,0.305427,15.3931,1.05267e+06,1.05267e+06
ClFFT,Inplace,Real,float,2,1,512,512,0,1,8.71001,0.002215,6.34495,0.674012,0.507578,0.470509,0.501873,0.306075,15.3643,1.05267e+06,1.05267e+06
ClFFT,Inplace,Real,float,2,1,512,512,0,2,8.64063,0.002249,6.32111,0.678015,0.507015,0.473069,0.509479,0.294302,15.2593,1.05267e+06,1.05267e+06
